"taxa_id","Kingdom","Phylum","Class","Clade","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","female_maturity.months.","male_maturity.months.","Gestation.months.","Weaning.months.","Infancy.months.","litter_size","litters_year","interbirth_interval","birth_weight.g.","weaning_weight.g.","adult_weight.g.","growth_rate.1.days.","max_longevity.months.","metabolic_rate","SE_simple","InferredNeoplasia","Keep"
4156,"Animalia","Chordata","Amphibia","Amphibia","Anura","Rhacophoridae","Theloderma","Theloderma_corticale","Tonkin bug-eyed frog",32,1,0.03125,"-",1,1,0.03125,1,0,0,0,"-",32,1,32,11,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.176776695,-1,TRUE
4416,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Uroplatus","Uroplatus_sikorae","Leaf tailed gecko",64,2,0.03125,"-",2,1,0.015625,0.5,1,0.015625,0.5,"-",64,2,64,10,"-",-1,-1,-1,-1,0.514243364,-1,-1,-1,-1,-1,-1,-1,15.6,-1,0.125,-1,TRUE
1723,"Animalia","Chordata","Mammalia","Mammalia","Chiroptera","Pteropodidae","Eidolon","Eidolon_helvum","Straw-colored fruit bat",31,1,0.032258065,"-",1,1,0.032258065,1,0,0,0,"-",31,1,31,7,"-",-1,-1,9.040105194,2.136752137,2.136752137,1.08,-1,12,50,135,306.25,-1,261.6,-1,0.179605302,16.99190254,TRUE
3194,"Animalia","Chordata","Reptilia","Sauropsida","Galliformes","Phasianidae","Pavo","Pavo_cristatus","Blue peafowl",31,1,0.032258065,"-",1,0,0,0,1,0.032258065,1,"-",31,1,31,10,"-",23.99737015,23.99737015,0.953320184,-1,73,-1,-1,-1,120,-1,4200,0.03,278.4,-1,0.179605302,18.29126468,TRUE
2313,"Animalia","Chordata","Amphibia","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes_versicolor","Gray treefrog",29,1,0.034482759,"-",1,1,0.034482759,1,0,0,0,"-",29,1,29,11,"-",23.99737015,23.99737015,-1,-1,73,1800,-1,-1,-1,-1,7.2,-1,93.6,-1,0.185695338,12.68498759,TRUE
4052,"Animalia","Chordata","Aves","Sauropsida","Passeriformes","Estrildidae","Taeniopygia","Taeniopygia_guttata","Timor zebra finch",29,1,0.034482759,"-",1,0,0,0,1,0.034482759,1,"-",29,1,29,7,"-",1.972386588,1.972386588,-1,-1,6,4.5,-1,-1,0.58,-1,12,-1,144,-1,0.185695338,14.0293562,TRUE
1543,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Crotaphytidae","Crotaphytus","Crotaphytus_collaris","Eastern collared lizard",28,1,0.035714286,"-",1,1,0.035714286,1,0,0,0,"-",28,1,28,10,"-",-1,-1,-1,-1,1,-1,1.5,-1,0.86,-1,29.525,-1,-1,-1,0.188982237,1.470189906,TRUE
3750,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Phrynosomatidae","Sceloporus","Sceloporus_cyanogenys","Blue spiny lizard",56,2,0.035714286,"-",2,2,0.035714286,1,0,0,0,"-",56,2,56,7,"-",-1,-1,-1,-1,2.650331181,13,-1,-1,1.15,-1,35.59,-1,80.4,-1,0.133630621,12.98286428,TRUE
540,"Animalia","Chordata","Aves","Sauropsida","Anseriformes","Anatidae","Asarcornis","Asarcornis_scutulata","White-winged duck",55,2,0.036363636,"-",2,2,0.036363636,1,0,0,0,"-",55,2,55,7,"-",-1,-1,-1,-1,1,9.662921348,-1,-1,-1,-1,3000,-1,-1,-1,0.134839972,3.477121255,TRUE
4414,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Gekkonidae","Uroplatus","Uroplatus_phantasticus","Satanic leaf-tailed gecko",55,2,0.036363636,"-",2,2,0.036363636,1,0,0,0,"-",55,2,55,6,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.134839972,-1,TRUE
1519,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Crotalus","Crotalus_atrox","Western diamond back rattlesnake",27,1,0.037037037,"-",1,1,0.037037037,1,0,0,0,"-",27,1,27,12,"-",35.99605523,35.99605523,5.489809336,-1,109.5,14,-1,-1,-1,-1,6700,-1,324,-1,0.19245009,18.88934486,TRUE
3324,"Animalia","Chordata","Amphibia","Amphibia","Anura","Pipidae","Pipa","Pipa_pipa","Surinam toad",108,4,0.037037037,"-",3,1,0.009259259,0.333333333,2,0.018518519,0.666666667,"-",108,4,108,21,"-",-1,-1,-1,-1,3.045902999,-1,-1,-1,-1,-1,-1,-1,92.4,-1,0.096225045,-1,TRUE
14402,"Animalia","Chordata","Mammalia","Mammalia","Rodentia","Gliridae","Muscardinus","Muscardinus_avellanarius","Common dormouse",52,2,0.038461538,"-",2,0,0,0,2,0.038461538,1,"-",52,2,52,1,"-",11.01249178,11.01249178,0.756081525,1.282051282,1.282051282,4.3,1.5,1.64,0.8,-1,27.3,-1,63.6,-1,0.138675049,12.25690534,TRUE
4165,"Animalia","Chordata","Aves","Sauropsida","Passeriformes","Thraupidae","Thraupis","Thraupis_episcopus","Blue gray tanager",26,1,0.038461538,"-",1,0,0,0,1,0.038461538,1,"-",26,1,26,14,"-",-1,-1,0.427350427,-1,3.757932272,-1,-1,-1,-1,-1,35,0.37,114,-1,0.196116135,13.88549715,TRUE
3633,"Animalia","Chordata","Aves","Sauropsida","Piciformes","Ramphastidae","Ramphastos","Ramphastos_swainsonii","Chestnut-mandibled toucan",102,4,0.039215686,"-",4,2,0.019607843,0.5,2,0.019607843,0.5,"-",102,4,102,24,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.099014754,-1,TRUE
893,"Animalia","Chordata","Aves","Sauropsida","Galliformes","Odontophoridae","Callipepla","Callipepla_gambelii","Gambel's quail",25,1,0.04,"-",1,0,0,0,1,0.04,1,"-",25,1,25,6,"-",11.99868508,11.99868508,0.723208416,-1,36.5,11,1.25,-1,-1,-1,166,-1,88.8,-1,0.2,13.91058588,TRUE
2684,"Animalia","Chordata","Mammalia","Mammalia","Primates","Cercopithecidae","Macaca","Macaca_nigra","Sulawesi crested macaque",25,1,0.04,"-",1,0,0,0,1,0.04,1,"-",25,1,25,3,"-",48.9809336,65.23701512,5.785667324,11.99868508,11.99868508,1.01,0.7,17.75,461,-1,7965,-1,408,-1,0.2,19.56514676,TRUE
2867,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Pythonidae","Simalia","Simalia_boeleni","Boelens python",25,1,0.04,"-",1,1,0.04,1,0,0,0,"-",25,1,25,6,"-",-1,-1,-1,-1,7.950993544,-1,-1,-1,-1,-1,-1,-1,241.2,-1,0.2,-1,TRUE
1527,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Viperidae","Crotalus","Crotalus_lepidus","Rock rattlesnake",49,2,0.040816327,"-",2,2,0.040816327,1,0,0,0,"-",49,2,49,14,"-",-1,-1,-1,-1,13.29121309,4.95,-1,-1,-1,-1,219,-1,403.2,-1,0.142857143,17.97356726,TRUE
1804,"Animalia","Chordata","Aves","Sauropsida","Passeriformes","Estrildidae","Chloebia","Chloebia_gouldiae","Gouldian finch",121,5,0.041322314,"-",5,5,0.041322314,1,0,0,0,"-",121,5,121,10,"-",-1,-1,0.427350427,-1,1,5.7,2.5,-1,-1,-1,12,-1,-1,-1,0.090909091,1.079181246,TRUE
3413,"Animalia","Chordata","Aves","Sauropsida","Falconiformes","Falconidae","Polihierax","Polihierax_semitorquatus","African pygmy falcon",24,1,0.041666667,"-",6,1,0.041666667,1,0,0,0,"-",29,6,24,10,"-",11.97761341,12.00690335,-1,-1,36.48045,-1,1.75,-1,-1,-1,61.025,-1,240,-1,0.204124145,16.06677524,TRUE
2858,"Animalia","Chordata","Aves","Sauropsida","Coraciiformes","Momotidae","Momotus","Momotus_momota","Blue-crowned mot mot",24,1,0.041666667,"-",1,1,0.041666667,1,0,0,0,"-",24,1,24,16,"-",-1,-1,0.690335306,-1,8.030107908,3.5,-1,-1,-1,-1,133,-1,243.6,-1,0.204124145,16.44391534,TRUE
282,"Animalia","Chordata","Aves","Sauropsida","Anseriformes","Anatidae","Anas","Anas_acuta","Northern pintail",23,1,0.043478261,"-",11,1,0.043478261,0.545454545,0,0,0.454545455,"-",33,11,23,13,"-",7.889546351,7.889546351,0.723208416,-1,24,7.5,-1,-1,26,-1,721,-1,328.8,-1,0.208514414,17.95952612,TRUE
3267,"Animalia","Chordata","Mammalia","Mammalia","Carnivora","Phocidae","Phoca","Phoca_vitulina","Atlantic harbor seal",46,2,0.043478261,"-",2,2,0.043478261,1,0,0,0,"-",46,2,46,6,"-",35.99605523,47.9947403,8.316896778,0.986193294,0.986193294,-1,1.1,12,11000,23945,115000,0.0013,571.2,32350.8,0.147441956,21.60142703,TRUE
1991,"Animalia","Chordata","Amphibia","Amphibia","Gymnophiona","Dermophiidae","Geotrypetes","Geotrypetes_seraphini","Gaboon caecilian",23,1,0.043478261,"-",1,0,0,0,1,0.043478261,1,"-",23,1,23,2,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.208514414,-1,TRUE
1745,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Anguidae","Elgaria","Elgaria_kingii","Elgaria kingii",22,1,0.045454545,"-",1,1,0.045454545,1,0,0,0,"-",22,1,22,12,"-",-1,-1,-1,-1,4.865533363,10.5,-1,-1,-1,-1,10,-1,147.6,-1,0.213200716,14.01451814,TRUE
3695,"Animalia","Chordata","Mammalia","Mammalia","Chiroptera","Pteropodidae","Rousettus","Rousettus_lanosus","Long-haired rousette",22,1,0.045454545,"-",1,1,0.045454545,1,0,0,0,"-",22,1,22,3,"-",-1,-1,-1,-1,7.397192999,-1,-1,-1,-1,-1,103,-1,224.4,-1,0.213200716,16.11897434,TRUE
3196,"Animalia","Chordata","Mammalia","Mammalia","Artiodactyla","Tayassuidae","Pecari","Pecari_tajacu","Collared peccary",22,1,0.045454545,"-",11,1,0.045454545,1,0,0,0,"-",32,11,22,8,"-",10.81525312,11.76857331,4.76660092,1.61078238,1.61078238,1.56,-1,5.1,700,4881,20200,-1,378,-1,0.213200716,19.77030217,TRUE
1660,"Animalia","Chordata","Amphibia","Amphibia","Anura","Hylidae","Dendropsophus","Dendropsophus_ebraccatus","Hourglass treefrog",22,1,0.045454545,"-",1,0,0,0,1,0.045454545,1,"-",22,1,22,5,"-",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.213200716,-1,TRUE
1155,"Animalia","Chordata","Reptilia","Sauropsida","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo_calyptratus","Veiled chameleon",87,4,0.045977011,"-",7,0,0,0,2,0.022988506,1,"-",92,9,87,11,"-",4.437869822,4.50295858,-1,-1,13.599,35,2.4,-1,0.56,-1,200.215,-1,-1,-1,0.107211253,2.301496611,TRUE
