taxa_id,Kingdom,Phylum,Class,Clade,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,---,female_maturity(months),male_maturity(months),Gestation(months),Weaning(months),Infancy(months),litter_size,litters_year,interbirth_interval,birth_weight(g),weaning_weight(g),adult_weight(g),growth_rate(1/days),max_longevity(months),metabolic_rate,SE_simple
1656,Animalia,Chordata,Aves,Sauropsida,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,White faced tree duck,84,2,0.023809524,-,2,1,0.011904762,0.5,1,0.011904762,0.5,-,84,2,84,3,-,-1,-1,0.887573964,-1,4.746861817,-1,-1,-1,22,-1,610,-1,144,-1,0.109108945
3247,Animalia,Chordata,Mammalia,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,Koala,84,22,0.261904762,-,22,21,0.25,0.954545455,1,0.011904762,0.045454545,-,84,22,84,5,-,21.23602893,35.99605523,1.019066404,11.24260355,11.24260355,1.01,-1,15.48,0.36,1155,9300,0.0028,265.2,1034.1,0.109108945
675,Animalia,Chordata,Reptilia,Sauropsida,Squamata,Viperidae,Bitis,Bitis arietans,Puff adder,83,2,0.024096386,-,2,1,0.012048193,0.5,1,0.012048193,0.5,-,83,2,83,4,-,-1,-1,-1,-1,6.250034726,156,-1,-1,-1,-1,2381,-1,189.6,-1,0.10976426
3278,Animalia,Chordata,Aves,Sauropsida,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus chilensis,Chilean flamingo,82,5,0.06097561,-,4,3,0.036585366,0.75,1,0.012195122,0.25,-,82,5,82,18,-,59.99342538,66.01742275,-1,-1,191.6625,-1,1.5,0.75,85,-1,2277,-1,440.4,-1,0.110431526
3691,Animalia,Chordata,Aves,Sauropsida,Galliformes,Phasianidae,Rollulus,Rollulus rouloul,Roul roul,80,0,0,-,0,0,0,NA,0,0,NA,-,80,0,80,17,-,-1,-1,-1,-1,1,5.75,-1,-1,-1,-1,224.5,-1,-1,-1,0.111803399
4273,Animalia,Chordata,Aves,Sauropsida,Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus moluccanus,Rainbow lorikeet,80,0,0,-,0,0,0,NA,0,0,NA,-,80,0,80,9,-,-1,-1,-1,-1,6.368706272,-1,-1,-1,-1,-1,119.55,-1,193.2,-1,0.111803399
1559,Animalia,Chordata,Reptilia,Sauropsida,Squamata,Iguanidae,Ctenosaura,Ctenosaura bakeri,Bakers spiny tail iguana,80,0,0,-,0,0,0,NA,0,0,NA,-,80,0,80,2,-,-1,-1,-1,-1,5.45889109,15,-1,-1,-1,-1,399.4,-1,165.6,-1,0.111803399
538,Animalia,Chordata,Mammalia,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Jamaican fruit bat,80,5,0.0625,-,5,3,0.0375,0.6,2,0.025,0.4,-,80,5,80,8,-,9.500328731,9.500328731,2.498356345,0.493096647,0.493096647,-1,-1,0.602327173,5.9,33.79,42.2,-1,230.4,56.5,0.111803399
63,Animalia,Chordata,Mammalia,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,Cheetah,79,12,0.151898734,-,19,3,0.037974684,0.526315789,9,0.113924051,0.473684211,-,86,19,79,20,-,14.99013807,14.99013807,2.892833662,3.517422748,3.517422748,3.28,0.7,17.65,489,1940,53500,-1,246,17115,0.11250879
18222,Animalia,Chordata,Mammalia,Mammalia,Rodentia,Muridae,Lemniscomys,Lemniscomys barbarus,Striped grass mouse,78,0,0,-,0,0,0,NA,0,0,NA,-,78,0,78,1,-,-1,-1,-1,-1,1.740516,4.6,-1,-1,-1,-1,26.2,-1,52.8,-1,0.113227703
