taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
926,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,NA,5,1,0.2,-,1,0,0,0,1,0.2,1,-,5,1,5,3,0.447213595
19332,Animalia,Chordata,Chondrichthyes,Squatiniformesf,Squatinidaebonaparte,Squatina,NA,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2701,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Osphranter,Osphranter rufus,Red Kangaroo,96,9,0.09375,-,7,5,0.052083333,0.714285714,2,0.020833333,0.285714286,-,96,9,96,18,0.102062073
4493,Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera wagneri,NA,3,1,0.333333333,-,1,1,0.333333333,1,0,0,0,-,3,1,3,2,0.577350269
19717,Animalia,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio (Heraclides),Papilio thoas,Giant Swallowtail pupa,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
341,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Anisognathus,Anisognathus somptuosus,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,2,0.577350269
2210,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Herpele,Herpele squalostoma,Congo caecilian,5,0,0,-,0,0,0,NA,0,0,NA,-,5,0,5,3,0.447213595
19722,Animalia,Ostariophysi,Characiformes,Anostomidae,Chilodontinae,Chilodus,Chilodus gracilis,Headstander,7,0,0,-,0,0,0,NA,0,0,NA,-,7,0,7,1,0.377964473
2247,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus erectus,NA,145,1,0.006896552,-,1,1,0.006896552,1,0,0,0,-,145,1,145,12,0.08304548
4069,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,Tangara icterocephala,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
1872,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,Eurycea neotenes,NA,8,0,0,-,0,0,0,NA,0,0,NA,-,8,0,8,2,0.353553391
1637,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Dasyatis,Dasyatis say,NA,44,0,0,-,0,0,0,NA,0,0,NA,-,44,0,44,12,0.150755672
4529,Animalia,Chordata,Actinopterygii,Perciformes,Ephippidae,Zabidius,Zabidius novemaculeatus,NA,5,0,0,-,0,0,0,NA,0,0,NA,-,5,0,5,2,0.447213595
19626,Animalia,Cyprinodontiformes,Cyprinodontoidei,Poeciliidae,Poeciliinae,Xiphophorus,Xiphophorus couchianus,Monterrey platyfish,7,0,0,-,0,0,0,NA,0,0,NA,-,7,0,7,1,0.377964473
3161,Animalia,Chordata,Teleostei,Scorpaeniformes,NA,Vespicula,Parascorpaena erostris,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,3,0.577350269
135,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,Ahaetulla nasuta,NA,6,1,0.166666667,-,1,0,0,0,1,0.166666667,1,-,6,1,6,3,0.40824829
2684,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca nigra,Sulawesi Crested Macaque,25,1,0.04,-,1,0,0,0,1,0.04,1,-,25,1,25,3,0.2
3944,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,Spizaetus ornatus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
14329,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula chloropus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
1585,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Cyanocorax yncas,NA,6,0,0,-,0,0,0,NA,0,0,NA,-,6,0,6,3,0.40824829
3418,Animalia,Chordata,Aves,Galliformes,Phasianidae,Polyplectron,Polyplectron bicalcaratum,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2937,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,Naultinus grayii,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
4421,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus arctos,Brown Bear,10,2,0.2,-,3,1,0.1,0.333333333,1,0.1,0.666666667,-,11,3,10,7,0.316227766
1595,Animalia,Chordata,Amphibia,Anura,Hylidae,Cyclorana,Cyclorana brevipes,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
19796,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Attacus,Attacus atlas,Atlas moth,18,0,0,-,0,0,0,NA,0,0,NA,-,18,0,18,1,0.23570226
1955,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Garrulax,Garrulax leucolophus,NA,11,2,0.181818182,-,7,2,0.181818182,1,0,0,0,-,16,7,11,7,0.301511345
3468,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Probosciger,Probosciger aterrimus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
509,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea goliath,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,3,0.5
